text,likesCount,TextBlob Polarity Score,TextBlob Subjectivity Score,Vader_Neg,Vader_Neu,Vader_Pos,Vader_Com
I love the Cheesecake Factory. I have never had a bad experience there!,27,-0.1874999999999999,0.6333333333333333,0.0,0.6,0.4,0.8096
"Had an awful time Saturday night, thank goodness our waitress was great.",2,-0.09999999999999998,0.875,0.146,0.388,0.466,0.765
Bring back the mushroom soup!,41,0.0,0.0,0.0,1.0,0.0,0.0
FACT,5,0.0,0.0,0.0,1.0,0.0,0.0
Bring back Boston House Salad,8,0.0,0.0,0.0,1.0,0.0,0.0
It’s real Long now many choices I love it.,5,0.30833333333333335,0.5666666666666668,0.0,0.656,0.344,0.6369
"When our daughter worked at The Cheesecake Factory Corporate Office in LA, she would bring a whole cheesecake when she flew back to florida.  We always looked forward to her visits! 😉",6,0.06666666666666667,0.13333333333333333,0.0,1.0,0.0,0.0
Bring back spicy cashew chicken,8,-0.3,0.475,0.0,1.0,0.0,0.0
Can’t wait for the new location in coconut Creek Florida to open next month.,4,0.04545454545454545,0.3181818181818182,0.0,1.0,0.0,0.0
Bring back the shrimp blt!,7,0.0,0.0,0.0,1.0,0.0,0.0
Bring back the stuffed cheddar burger 😡,1,0.0,0.0,0.0,1.0,0.0,0.0
Bring back the different soup for every day of the week.,4,0.0,0.3,0.0,1.0,0.0,0.0
Fact,1,0.0,0.0,0.0,1.0,0.0,0.0
I miss the salmon fire cracker rolls,10,0.0,0.0,0.444,0.556,0.0,-0.4588
Bring back the tons of fun burger.,6,0.15,0.1,0.0,0.645,0.355,0.5106
Please bring back the Luau and Boston Bibb Salads.,2,0.0,0.0,0.0,0.777,0.223,0.3182
Bring back Grilled Artichokes!,3,0.0,0.0,0.0,1.0,0.0,0.0
"Idk. Bring back the chicken teriyaki, then we’ll talk.",0,-0.3,0.475,0.149,0.851,0.0,-0.1027
Probably fact,2,0.0,0.0,0.0,1.0,0.0,0.0
Not anymore!,2,0.0,0.0,0.0,1.0,0.0,0.0
Bring back the 2 page menu!,8,0.0,0.0,0.0,1.0,0.0,0.0
Fact,3,0.0,0.0,0.0,1.0,0.0,0.0
I can’t say for sure as I was 2 but later it was long,3,0.15,0.4296296296296296,0.0,0.887,0.113,0.1655
"Come to Myrtle Beach, SC",2,0.0,0.0,0.0,1.0,0.0,0.0
"Fiction.  Even when Covid and the resulting supply chain problems struck, the abridged menu was still 47 pages long…😆",3,0.1,0.5,0.179,0.725,0.095,-0.296
True?,2,0.35,0.65,0.0,0.0,1.0,0.4215
True!,2,0.4375,0.65,0.0,0.0,1.0,0.4753
Bring back the pork belly sliders,4,0.0,0.0,0.0,1.0,0.0,0.0
Fact,3,0.0,0.0,0.0,1.0,0.0,0.0
Fact,4,0.0,0.0,0.0,1.0,0.0,0.0
Fact,2,0.0,0.0,0.0,1.0,0.0,0.0
Fact,1,0.0,0.0,0.0,1.0,0.0,0.0
Probably true,2,0.35,0.65,0.0,0.263,0.737,0.4215
Fact,3,0.0,0.0,0.0,1.0,0.0,0.0
"Bring back
The Factory Burger on the sourdough",3,0.0,0.0,0.0,1.0,0.0,0.0
Fiction.,3,0.0,0.0,0.0,1.0,0.0,0.0
Fact,2,0.0,0.0,0.0,1.0,0.0,0.0
Bring back the corn soup!! And the Luau salad!,3,0.0,0.0,0.0,1.0,0.0,0.0
Bring one closer to ME!!! Lol,4,0.8,0.7,0.0,0.576,0.424,0.5684
#Fact,2,0.0,0.0,0.0,1.0,0.0,0.0
Love Chessecake Factory,0,0.5,0.6,0.0,0.323,0.677,0.6369
Fact,1,0.0,0.0,0.0,1.0,0.0,0.0
Fact,2,0.0,0.0,0.0,1.0,0.0,0.0
The restaurant opened in 1978.,0,0.0,0.0,0.0,1.0,0.0,0.0
Please bring back Chicken di Pana!!!,3,-0.5,0.475,0.0,0.612,0.388,0.4898
Fact,1,0.0,0.0,0.0,1.0,0.0,0.0
TRUE,3,0.35,0.65,0.0,0.0,1.0,0.4215
FACTory,2,0.0,0.0,0.0,1.0,0.0,0.0
Ryan J. Cariglio,1,0.0,0.0,0.0,1.0,0.0,0.0
Factory,2,0.0,0.0,0.0,1.0,0.0,0.0
Bring back Spicy cashew chicken onto your menu,9,-0.3,0.475,0.0,1.0,0.0,0.0
Fact,1,0.0,0.0,0.0,1.0,0.0,0.0
Bring back the Factory Burrito!,6,0.0,0.0,0.0,1.0,0.0,0.0
Factory,1,0.0,0.0,0.0,1.0,0.0,0.0
"The last time a friend and I were at the cheesecake factory, in July, we weren't impressed. The menu is way too big, always has been! (Robert Irvine would cut that down to 1 or 2 pages!) All of the things we really liked to order are not on the menu anymore. And the cheesecake slices were smaller than before. We decided we will eat somewhere else and just go there to get a piece of cheesecake to go.",4,0.23425925925925925,0.45925925925925926,0.054,0.867,0.079,0.4978
Need the macadamia nut cheesecake! Bring it back!,6,0.0,0.0,0.0,1.0,0.0,0.0
"Bring back the Samosas, pretzel crusted chicken, and the Flatbread with roasted pear, but with Feta cheese, not blue cheese.",8,-0.19999999999999998,0.35000000000000003,0.0,1.0,0.0,0.0
Bring back the chocolate raspberry cheesecake.  Not the one with white chocolate.,9,0.0,0.0,0.0,1.0,0.0,0.0
Why make me so sad. You give me tiramisu cheesecake but no coffee flavor and it's dry... but why cheesecake factory?,0,-0.2833333333333333,0.8,0.218,0.782,0.0,-0.6481
Bring back fry bread taco .,3,0.0,0.0,0.0,1.0,0.0,0.0
"I used to love the cheesecake factory, but over the past several years,quality has dropped.  I no long visit. I miss it, but not worth my money.",1,0.025000000000000005,0.27,0.207,0.712,0.08,-0.4765
Fiction. It has NEVER been two pages.  No way.,2,0.0,0.0,0.216,0.784,0.0,-0.296
wasnt born lol,1,0.8,0.7,0.538,0.462,0.0,-0.3252
Too many choices now.,1,0.5,0.5,0.0,1.0,0.0,0.0
I'll admit to being overwhelmed the first time I looked at the menu. So many options made it hard to decide.,1,0.15277777777777776,0.4583333333333333,0.062,0.804,0.134,0.1531
Please more low sodium non mushroom vegetarian options! PPPLLLLEEEEEEAAAAAAAASSSSSSSSEEEEEEEEEE!!!,2,0.25,0.4,0.277,0.544,0.179,-0.3096
"I still have a menu from 1987 somewhere ; I live in Australia, wrote asking for one, and they sent me one (lived in L.A. in 86/87) !",2,0.17045454545454544,0.5,0.0,1.0,0.0,0.0
I think it was 3 pages,2,0.0,0.0,0.0,1.0,0.0,0.0
"Change back to a smaller menu, I beg of you",2,0.0,0.25,0.0,1.0,0.0,0.0
Still reading your menu lol 😉,16,0.8,0.7,0.0,0.682,0.318,0.4215
I think it's true,1,0.35,0.65,0.0,0.517,0.483,0.4215
"Went to Cheesecake Factory at Christiana Mall last Sunday - ordered the Cuban sandwich. Was very dissatisfied.  Not a lot of meat on the sandwich,  and whomever prepared the sandwich must have shifted it or dropped it onto the plate as they were going to cut it in half. When it was brought to my table,  cut in half,  all of the meat was on one half - the other half had nothing on it. I took half of the meat from the one side and put it on thy empty side... very messy and very small portions on the sandwich in a whole.  Really bad for the price I paid.",1,-0.14948717948717946,0.32166666666666666,0.128,0.857,0.016,-0.9114
And that would be good enough!,3,0.35,0.55,0.0,0.61,0.39,0.4926
The menu now is way too massive. Needs to be smaller.,18,0.0,0.75,0.0,1.0,0.0,0.0
Regardless bring back the 1977 prices!🤣😅,10,0.0,0.0,0.0,0.684,0.316,0.7177
..... no it was bigger,1,0.0,0.5,0.355,0.645,0.0,-0.296
No idea. Never heard of The Cheesecake Factory in 1977.,2,0.0,0.0,0.196,0.804,0.0,-0.296
Now it is a book.,2,0.0,0.0,0.0,1.0,0.0,0.0
Ever think of doing a limited Retro-Menu era for a few weeks?,2,-0.13571428571428573,0.12142857142857143,0.147,0.853,0.0,-0.2263
Were yr cheesecakes “over priced” like they r now🤔🤔🤔,1,0.0,0.0,0.0,0.848,0.152,0.3612
Fact but did not know it was open in 1977,1,0.0,0.5,0.0,1.0,0.0,0.0
And 5 times cheaper,2,0.0,0.0,0.0,1.0,0.0,0.0
That’s not a good sign for a restaurant if the menu has way too many items ! Jus sayin !!,1,0.31328125,0.55,0.147,0.853,0.0,-0.5076
"Worked right across the street from the one on Las Olas for years, but unless you had a 3 hour lunch you couldn't go there.  Service sucked!",1,0.3571428571428571,0.5357142857142857,0.142,0.858,0.0,-0.6476
No idea. I wasn't even a thought in my parent's heads yet lol,0,0.8,0.7,0.138,0.688,0.175,0.1531
over priced slop,2,0.0,0.0,0.0,1.0,0.0,0.0
"Would be nice if you went back to a smaller menu, that way you could focus on doing a fewer meals great instead of dozens of meals mediocre.",2,0.18,0.65,0.0,0.79,0.21,0.7845
I think you mean 12 pages,1,-0.3125,0.6875,0.0,1.0,0.0,0.0
False you didn’t open til 1978!,1,-0.20000000000000004,0.55,0.0,1.0,0.0,0.0
False you didnt open till 88,2,-0.20000000000000004,0.55,0.0,1.0,0.0,0.0
Traci Mo I agree it’s too long especially since most dishes have the same base.,1,-0.07,0.605,0.0,0.848,0.152,0.3612
"Traci Mo The more options, the better, keep expanding it!",0,0.5625,0.5,0.0,0.723,0.277,0.5355
Traci Mo never been how long is it now,0,-0.05,0.4,0.0,1.0,0.0,0.0
Colleen Carey It was my favorite.  White chocolate is not really chocolate.,1,0.13333333333333333,0.39999999999999997,0.0,0.786,0.214,0.4588
Tobie Balma 💯 I miss that one!,1,0.0,0.0,0.213,0.787,0.0,-0.2244
Kasey D Jordan but was the menu drafted in 1977 🤔,1,0.0,0.0,0.0,1.0,0.0,0.0
Katie Higdon Garcia it gives me anxiety 😂,0,0.0,0.0,0.22,0.549,0.232,0.296
Richard Spenelli Jr. Hello how are you doing? You have a  great picture is that your real hair on your profile picture?  I tried adding you as my friend but is not going through. So please try from your Facebook to see if it works so that we can be friends.,0,0.5,0.525,0.0,0.781,0.219,0.9209
